Date,IndexLevel,DailyReturn,NumberOfHoldings,Divisor,EffectiveDate,UpdatedAt
2026-08-12,100.00000000000001,0.0,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-13,100.61168936141213,0.006116893614121155,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-14,100.13611289895333,-0.004726850980013464,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-17,100.06492681797201,-0.0007108931924804107,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-18,98.86309541836629,-0.012010515950228728,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-19,98.9133594241635,0.0005084203117908803,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-20,97.98967266710719,-0.009338341781470971,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-21,98.39315517758023,0.004117602391057629,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-24,97.62168509497587,-0.007840688523627515,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-25,98.24709219189255,0.006406436196099374,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-26,98.0875178810211,-0.0016242140842170905,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-27,99.4325267606962,0.013712334746879717,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-28,99.10846424136555,-0.0032591198261567866,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-08-31,98.99127133747542,-0.0011824711924172115,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-09-01,98.26281798144973,-0.0073587635170609955,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-09-02,98.79001204085513,0.005365142891637031,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-09-03,100.18792241388034,0.014150320909436687,56,19.833817203341674,2026-08-12,2026-09-05T03:31:04
2026-09-04,100.0595614293474,-0.0012812021792675266,56,19.947851710434794,2026-09-04,2026-09-05T03:31:04
